,Name,Url,Address
0,"3772 6th Ave, Los Angeles, CA 90018",/CA/Los-Angeles/3772-6th-Ave-90018/home/6881795,"{'@type': 'PostalAddress', 'streetAddress': '3772 6th Ave', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90018', 'addressCountry': 'US'}"
2,"3615 Kalsman Dr #3, Los Angeles, CA 90016",/CA/Los-Angeles/3615-Kalsman-Dr-90016/unit-3/home/6720805,"{'@type': 'PostalAddress', 'streetAddress': '3615 Kalsman Dr #3', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90016', 'addressCountry': 'US'}"
4,"8221 Langdon Ave #210, Van Nuys, CA 91406",/CA/Van-Nuys/8221-Langdon-Ave-91406/unit-210/home/5688478,"{'@type': 'PostalAddress', 'streetAddress': '8221 Langdon Ave #210', 'addressLocality': 'Van Nuys', 'addressRegion': 'CA', 'postalCode': '91406', 'addressCountry': 'US'}"
6,"222 S Central Ave #239, Los Angeles, CA 90012",/CA/Los-Angeles/222-S-Central-Ave-90012/unit-239/home/6937095,"{'@type': 'PostalAddress', 'streetAddress': '222 S Central Ave #239', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90012', 'addressCountry': 'US'}"
8,"6145 Shoup Ave #46, Woodland Hills, CA 91367",/CA/Woodland-Hills/6145-Shoup-Ave-91367/unit-46/home/3217333,"{'@type': 'PostalAddress', 'streetAddress': '6145 Shoup Ave #46', 'addressLocality': 'Woodland Hills', 'addressRegion': 'CA', 'postalCode': '91367', 'addressCountry': 'US'}"
10,"1037 N Laurel Ave #18, West Hollywood, CA 90046",/CA/West-Hollywood/1037-N-Laurel-Ave-90046/unit-18/home/8143422,"{'@type': 'PostalAddress', 'streetAddress': '1037 N Laurel Ave #18', 'addressLocality': 'West Hollywood', 'addressRegion': 'CA', 'postalCode': '90046', 'addressCountry': 'US'}"
12,"4060 Glencoe Ave #226, Marina Del Rey, CA 90292",/CA/Marina-Del-Rey/4060-Glencoe-Ave-90292/unit-226/home/8179466,"{'@type': 'PostalAddress', 'streetAddress': '4060 Glencoe Ave #226', 'addressLocality': 'Marina Del Rey', 'addressRegion': 'CA', 'postalCode': '90292', 'addressCountry': 'US'}"
14,"11970 Montana Ave #206, Los Angeles, CA 90049",/CA/Los-Angeles/11970-Montana-Ave-90049/unit-206/home/6761961,"{'@type': 'PostalAddress', 'streetAddress': '11970 Montana Ave #206', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90049', 'addressCountry': 'US'}"
16,"3872 Dwiggins St, Los Angeles, CA 90063",/CA/Los-Angeles/3872-Dwiggins-St-90063/home/6956090,"{'@type': 'PostalAddress', 'streetAddress': '3872 Dwiggins St', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90063', 'addressCountry': 'US'}"
18,"4831 Toland Way, Los Angeles, CA 90042",/CA/Los-Angeles/4831-Toland-Way-90042/home/7082283,"{'@type': 'PostalAddress', 'streetAddress': '4831 Toland Way', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90042', 'addressCountry': 'US'}"
20,"4411 Los Feliz Blvd #605, Los Angeles, CA 90027",/CA/Los-Angeles/4411-Los-Feliz-Blvd-90027/unit-605/home/7133042,"{'@type': 'PostalAddress', 'streetAddress': '4411 Los Feliz Blvd #605', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90027', 'addressCountry': 'US'}"
22,"3311 Waverly Dr, Los Angeles, CA 90027",/CA/Los-Angeles/3311-Waverly-Dr-90027/home/7063627,"{'@type': 'PostalAddress', 'streetAddress': '3311 Waverly Dr', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90027', 'addressCountry': 'US'}"
24,"305 Arnaz Dr #204, Los Angeles, CA 90048",/CA/Los-Angeles/305-Arnaz-Dr-90048/unit-204/home/8150513,"{'@type': 'PostalAddress', 'streetAddress': '305 Arnaz Dr #204', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90048', 'addressCountry': 'US'}"
26,"3736 Tuller Ave, Los Angeles, CA 90034",/CA/Los-Angeles/3736-Tuller-Ave-90034/home/6751443,"{'@type': 'PostalAddress', 'streetAddress': '3736 Tuller Ave', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90034', 'addressCountry': 'US'}"
28,"837 N West Knoll Dr #205, West Hollywood, CA 90069",/CA/West-Hollywood/837-N-W-Knoll-Dr-90069/unit-205/home/6816700,"{'@type': 'PostalAddress', 'streetAddress': '837 N West Knoll Dr #205', 'addressLocality': 'West Hollywood', 'addressRegion': 'CA', 'postalCode': '90069', 'addressCountry': 'US'}"
30,"1911 Manning Ave #2, Los Angeles, CA 90025",/CA/Los-Angeles/1911-Manning-Ave-90025/unit-2/home/6799781,"{'@type': 'PostalAddress', 'streetAddress': '1911 Manning Ave #2', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90025', 'addressCountry': 'US'}"
32,"422 Sherman Canal, Venice, CA 90291",/CA/Venice/422-Sherman-Canal-90291/home/6734686,"{'@type': 'PostalAddress', 'streetAddress': '422 Sherman Canal', 'addressLocality': 'Venice', 'addressRegion': 'CA', 'postalCode': '90291', 'addressCountry': 'US'}"
34,"1200 S Holt Ave #202, Los Angeles, CA 90035",/CA/Los-Angeles/1200-S-Holt-Ave-90035/unit-202/home/6812944,"{'@type': 'PostalAddress', 'streetAddress': '1200 S Holt Ave #202', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90035', 'addressCountry': 'US'}"
36,"7300 Franklin Ave #451, Los Angeles, CA 90046",/CA/Los-Angeles/7300-Franklin-Ave-90046/unit-451/home/7116150,"{'@type': 'PostalAddress', 'streetAddress': '7300 Franklin Ave #451', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90046', 'addressCountry': 'US'}"
38,"837 N West Knoll Dr #114, West Hollywood, CA 90069",/CA/West-Hollywood/837-N-W-Knoll-Dr-90069/unit-114/home/6816694,"{'@type': 'PostalAddress', 'streetAddress': '837 N West Knoll Dr #114', 'addressLocality': 'West Hollywood', 'addressRegion': 'CA', 'postalCode': '90069', 'addressCountry': 'US'}"
40,"2219 S Bentley Ave #104, Los Angeles, CA 90064",/CA/Los-Angeles/2219-S-Bentley-Ave-90064/unit-104/home/6800798,"{'@type': 'PostalAddress', 'streetAddress': '2219 S Bentley Ave #104', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90064', 'addressCountry': 'US'}"
42,"1222 S Westgate Ave Ph 3, Los Angeles, CA 90025",/CA/Los-Angeles/1222-S-Westgate-Ave-90025/unit-3/home/8113567,"{'@type': 'PostalAddress', 'streetAddress': '1222 S Westgate Ave Ph 3', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90025', 'addressCountry': 'US'}"
44,"6505 La Mirada Ave, Los Angeles, CA 90038",/CA/Los-Angeles/6505-La-Mirada-Ave-90038/home/26848386,"{'@type': 'PostalAddress', 'streetAddress': '6505 La Mirada Ave', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90038', 'addressCountry': 'US'}"
46,"3323 Ione Pl, Los Angeles, CA 90068",/CA/Los-Angeles/3323-Ione-Dr-90068/home/5311267,"{'@type': 'PostalAddress', 'streetAddress': '3323 Ione Pl', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90068', 'addressCountry': 'US'}"
48,"6001 Carlton Way #411, Los Angeles, CA 90028",/CA/Los-Angeles/6001-Carlton-Way-90028/unit-411/home/39540611,"{'@type': 'PostalAddress', 'streetAddress': '6001 Carlton Way #411', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90028', 'addressCountry': 'US'}"
50,"12773 Caswell Ave #303, Los Angeles, CA 90066",/CA/Los-Angeles/12773-Caswell-Ave-90066/unit-303/home/6740272,"{'@type': 'PostalAddress', 'streetAddress': '12773 Caswell Ave #303', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90066', 'addressCountry': 'US'}"
52,"7402 Mace Pl, Los Angeles, CA 90001",/CA/Los-Angeles/7402-Mace-Pl-90001/home/7285952,"{'@type': 'PostalAddress', 'streetAddress': '7402 Mace Pl', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90001', 'addressCountry': 'US'}"
54,"22139 Cantlay St, Canoga Park, CA 91303",/CA/Canoga-Park/22139-Cantlay-St-91303/home/3087156,"{'@type': 'PostalAddress', 'streetAddress': '22139 Cantlay St', 'addressLocality': 'Canoga Park', 'addressRegion': 'CA', 'postalCode': '91303', 'addressCountry': 'US'}"
56,"7356 Leescott Ave, Van Nuys, CA 91406",/CA/Van-Nuys/7356-Leescott-Ave-91406/home/4520846,"{'@type': 'PostalAddress', 'streetAddress': '7356 Leescott Ave', 'addressLocality': 'Van Nuys', 'addressRegion': 'CA', 'postalCode': '91406', 'addressCountry': 'US'}"
58,"10344 Pinyon Ave, Tujunga, CA 91042",/CA/Tujunga/10344-Pinyon-Ave-91042/home/5529744,"{'@type': 'PostalAddress', 'streetAddress': '10344 Pinyon Ave', 'addressLocality': 'Tujunga', 'addressRegion': 'CA', 'postalCode': '91042', 'addressCountry': 'US'}"
60,"10041 Sylvia Ave, Northridge, CA 91324",/CA/Northridge/10041-Sylvia-Ave-91324/home/5816994,"{'@type': 'PostalAddress', 'streetAddress': '10041 Sylvia Ave', 'addressLocality': 'Northridge', 'addressRegion': 'CA', 'postalCode': '91324', 'addressCountry': 'US'}"
62,"6626 W 6th St, Los Angeles, CA 90048",/CA/Los-Angeles/6626-W-6th-St-90048/home/7092935,"{'@type': 'PostalAddress', 'streetAddress': '6626 W 6th St', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90048', 'addressCountry': 'US'}"
64,"575 S Barrington Ave #109, Los Angeles, CA 90049",/CA/Los-Angeles/575-S-Barrington-Ave-90049/unit-109/home/6835899,"{'@type': 'PostalAddress', 'streetAddress': '575 S Barrington Ave #109', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90049', 'addressCountry': 'US'}"
66,"727 S St Louis St, Los Angeles, CA 90023",/CA/Los-Angeles/727-S-St-Louis-St-90023/home/6941608,"{'@type': 'PostalAddress', 'streetAddress': '727 S St Louis St', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90023', 'addressCountry': 'US'}"
68,"1965 Park Grove Ave, Los Angeles, CA 90007",/CA/Los-Angeles/1965-Park-Grove-Ave-90007/home/6929821,"{'@type': 'PostalAddress', 'streetAddress': '1965 Park Grove Ave', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90007', 'addressCountry': 'US'}"
70,"1630 S Crest Dr, Los Angeles, CA 90035",/CA/Los-Angeles/1630-S-Crest-Dr-90035/home/6788323,"{'@type': 'PostalAddress', 'streetAddress': '1630 S Crest Dr', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90035', 'addressCountry': 'US'}"
72,"10552 Cheviot Dr, Los Angeles, CA 90064",/CA/Los-Angeles/10552-Cheviot-Dr-90064/home/6798043,"{'@type': 'PostalAddress', 'streetAddress': '10552 Cheviot Dr', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90064', 'addressCountry': 'US'}"
74,"8507 Franklin Ave, Los Angeles, CA 90069",/CA/Los-Angeles/8507-Franklin-Ave-90069/home/7120180,"{'@type': 'PostalAddress', 'streetAddress': '8507 Franklin Ave', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90069', 'addressCountry': 'US'}"
76,"7344 W 85th St, Westchester, CA 90045",/CA/Los-Angeles/7344-W-85th-St-90045/home/6622504,"{'@type': 'PostalAddress', 'streetAddress': '7344 W 85th St', 'addressLocality': 'Westchester', 'addressRegion': 'CA', 'postalCode': '90045', 'addressCountry': 'US'}"
78,"3874 Broadlawn Dr, Los Angeles, CA 90068",/CA/Los-Angeles/3874-Broadlawn-Dr-90068/home/5311582,"{'@type': 'PostalAddress', 'streetAddress': '3874 Broadlawn Dr', 'addressLocality': 'Los Angeles', 'addressRegion': 'CA', 'postalCode': '90068', 'addressCountry': 'US'}"
80,"10926 Bluffside Dr #24, Studio City, CA 91604",/CA/Studio-City/10926-Bluffside-Dr-91604/unit-24/home/5232167,"{'@type': 'PostalAddress', 'streetAddress': '10926 Bluffside Dr #24', 'addressLocality': 'Studio City', 'addressRegion': 'CA', 'postalCode': '91604', 'addressCountry': 'US'}"
